archivo,clase
WhatsApp Audio 2025-11-14 at 17.44.35.wav,1
NJ_3.wav,0
WhatsApp Audio 2025-11-14 at 18.41.45.wav,0
WhatsApp Audio 2025-11-14 at 18.41.50.wav,0
NJ_2.wav,0
WhatsApp Audio 2025-11-14 at 18.35.48.wav,1
WhatsApp Audio 2025-11-14 at 17.29.19.wav,1
WhatsApp Audio 2025-11-14 at 18.45.08.wav,0
WhatsApp Audio 2025-11-14 at 18.36.19.wav,1
WhatsApp Audio 2025-11-14 at 21.51.34.wav,1
WhatsApp Audio 2025-11-14 at 18.34.34.wav,1
Avenida Pedro Blanes Viale 5925 8.wav,1
WhatsApp Audio 2025-11-14 at 21.57.55.wav,0
WhatsApp Audio 2025-11-14 at 18.45.22.wav,0
NJ_1.wav,0
WhatsApp Audio 2025-11-14 at 21.57.42.wav,0
WhatsApp Audio 2025-11-14 at 21.59.43.wav,0
NJ_12.wav,0
WhatsApp Audio 2025-11-14 at 18.45.33.wav,0
WhatsApp Audio 2025-11-14 at 18.45.27.wav,0
NJ_5.wav,0
NJ_4.wav,0
NJ_13.wav,0
WhatsApp Audio 2025-11-14 at 18.44.58.wav,0
WhatsApp Audio 2025-11-15 at 12.36.58 (1).wav,1
WhatsApp Audio 2025-11-14 at 16.59.02.wav,1
NJ_11.wav,0
NJ_6.wav,0
WhatsApp Audio 2025-11-14 at 20.08.52.wav,0
WhatsApp Audio 2025-11-14 at 18.41.55.wav,0
WhatsApp Audio 2025-11-14 at 18.41.41.wav,0
NJ_7.wav,0
WhatsApp Audio 2025-11-14 at 21.53.08.wav,0
NJ_10.wav,0
WhatsApp Audio 2025-11-14 at 18.34.19.wav,1
WhatsApp Audio 2025-11-14 at 18.44.02.wav,0
WhatsApp Audio 2025-11-15 at 12.37.11.wav,0
PJ_11.wav,1
WhatsApp Audio 2025-11-14 at 18.41.33.wav,0
PJ_10.wav,1
WhatsApp Audio 2025-11-14 at 16.58.25.wav,0
PJ_1.wav,1
WhatsApp Audio 2025-11-14 at 21.57.08.wav,0
PJ_3.wav,1
WhatsApp Audio 2025-11-14 at 18.43.08.wav,0
WhatsApp Audio 2025-11-14 at 18.44.15.wav,0
WhatsApp Audio 2025-11-14 at 18.34.41.wav,1
WhatsApp Audio 2025-11-15 at 12.37.11 (1).wav,0
WhatsApp Audio 2025-11-14 at 17.27.55.wav,1
PJ_12.wav,1
PJ_13.wav,1
WhatsApp Audio 2025-11-14 at 18.35.14.wav,1
WhatsApp Audio 2025-11-14 at 21.52.11.wav,1
WhatsApp Audio 2025-11-14 at 18.33.49.wav,1
WhatsApp Audio 2025-11-14 at 18.44.28.wav,0
WhatsApp Audio 2025-11-14 at 17.28.05.wav,1
PJ_2.wav,1
PJ_6.wav,1
WhatsApp Audio 2025-11-14 at 22.00.15.wav,0
PJ_17.wav,1
WhatsApp Audio 2025-11-14 at 20.08.33.wav,1
PJ_16.wav,1
WhatsApp Audio 2025-11-14 at 21.51.51.wav,1
WhatsApp Audio 2025-11-14 at 17.28.28.wav,1
PJ_7.wav,1
PJ_5.wav,1
WhatsApp Audio 2025-11-14 at 21.59.37.wav,0
WhatsApp Audio 2025-11-14 at 18.34.53.wav,1
PJ_14.wav,1
WhatsApp Audio 2025-11-14 at 16.58.09.wav,1
WhatsApp Audio 2025-11-14 at 18.41.22.wav,0
WhatsApp Audio 2025-11-14 at 21.52.03.wav,1
PJ_15.wav,1
WhatsApp Audio 2025-11-14 at 18.35.06.wav,1
PJ_4.wav,1
